"Art.Code CEWE","Art.Code EUROFOTO","Art.Code CEWE","Art.Name","Art.group","Comments"
9901,184,9901,"Kalender, 13s, 20x30 cm","Calenders",
9901,276,9901,"Kalender, 13s, 20x25 cm","Calenders",
9901,359,9901,"Kalender, 13s, 30x40 cm","Calenders",
9901,654,9901,"Kalender, 13s, 30x30 cm","Calenders",
9901,653,9901,"Kalender, 7s, 30x30 cm","Calenders",
9901,525,9901,"Kalender, 13s, 10x30 cm","Calenders",
9901,274,9901,"Kalender, 7s, 20x30 cm","Calenders",
9901,566,9901,"Bordkalender, 13s, 15x20 cm","Calenders",
9901,277,9901,"Kalender, 7s, 30x40 cm","Calenders",
9901,275,9901,"Kalender, 1s, 30x40 cm","Calenders",
9901,813,9901,"Aktivitetskalender, familie","Calenders",
9901,800,9901,"Aktivitetskalender, 13s, 30x40 cm","Calenders",
9901,360,9901,"Kalendere, flere språk, 20x30 cm","Calenders",
9901,479,9901,"Kalender, plakat, 50x70 cm","Calenders",
9901,876,9901,"Aktivitetskalender, 13sider 20x30","Calenders",
9901,881,9901,"Kalender 13.sider, 10x20cm","Calenders",
9901,912,9901,"Poster kalender 30x40","Calenders",
9901,911,9901,"Bordkalender 15x20","Calenders",
9901,913,9901,"Poster Kalender 50x70","Calenders",
9901,909,9901,"Kalender 30x30","Calenders",
9901,910,9901,"Kalender 30x40","Calenders",
9901,908,9901,"Kalender 20x30","Calenders",
9902,7074,9902,"Lerret med 2cm ramme, 30x90cm","Canvas with frame",
9902,810,9902,"Popart lerret m/ramme 30x30","Canvas with frame",
9902,871,9902,"Fotopapir med filmtema, 50x70 cm","Canvas with frame",
9902,7066,9902,"Lerret med 4cm ramme, 70x90cm","Canvas with frame",
9902,7068,9902,"Lerret med 4cm ramme, 80x80cm","Canvas with frame",
9902,7063,9902,"Lerret med 4cm ramme, 50x70cm","Canvas with frame",
9902,7065,9902,"Lerret med 4cm ramme, 70x70cm","Canvas with frame",
9902,7070,9902,"Lerret med 4cm ramme, 60x60cm","Canvas with frame",
9902,7083,9902,"Lerret med 2cm ramme, 70x70cm","Canvas with frame",
9902,7064,9902,"Lerret med 4cm ramme, 60x80cm","Canvas with frame",
9902,7062,9902,"Lerret med 4cm ramme, 50x60cm","Canvas with frame",
9902,7067,9902,"Lerret med 4cm ramme, 70x100cm","Canvas with frame",
9902,809,9902,"Popart Lerret m/ramme 20x20","Canvas with frame",
9902,7054,9902,"Lerret med 4cm ramme, 30x80cm","Canvas with frame",
9902,7053,9902,"Lerret med 4cm ramme, 30x70cm","Canvas with frame",
9902,7055,9902,"Lerret med 4cm ramme, 30x90cm","Canvas with frame",
9902,7080,9902,"Lerret med 2cm ramme, 50x60cm","Canvas with frame",
9902,7069,9902,"Lerret med 4cm ramme, 100x100cm","Canvas with frame",
9902,7056,9902,"Lerret med 4cm ramme, 70x100cm","Canvas with frame",
9902,7057,9902,"Lerret med 4cm ramme, 40x40cm","Canvas with frame",
9902,7058,9902,"Lerret med 4cm ramme, 40x60cm","Canvas with frame",
9902,7059,9902,"Lerret med 4cm ramme, 40x90cm","Canvas with frame",
